user_id,login_timestamp,login_date,login_month
user_359,2023-02-10,2023-02-10,2023-02
user_673,2023-12-15,2023-12-15,2023-12
user_79,2023-07-05,2023-07-05,2023-07
user_18,2023-04-12,2023-04-12,2023-04
user_680,2023-12-02,2023-12-02,2023-12
user_162,2023-03-10,2023-03-10,2023-03
user_981,2023-08-05,2023-08-05,2023-08
user_972,2023-04-30,2023-04-30,2023-04
user_414,2023-11-02,2023-11-02,2023-11
user_362,2023-08-17,2023-08-17,2023-08
user_926,2023-08-29,2023-08-29,2023-08
user_275,2023-09-19,2023-09-19,2023-09
user_628,2023-11-01,2023-11-01,2023-11
user_909,2023-06-03,2023-06-03,2023-06
user_198,2023-05-06,2023-05-06,2023-05
user_631,2023-05-30,2023-05-30,2023-05
user_573,2023-01-27,2023-01-27,2023-01
user_372,2023-01-22,2023-01-22,2023-01
user_384,2023-07-11,2023-07-11,2023-07
user_331,2023-06-30,2023-06-30,2023-06
user_6,2023-04-13,2023-04-13,2023-04
user_350,2023-04-21,2023-04-21,2023-04
user_679,2023-03-13,2023-03-13,2023-03
user_385,2023-11-02,2023-11-02,2023-11
user_562,2023-11-23,2023-11-23,2023-11
user_64,2023-07-30,2023-07-30,2023-07
user_133,2023-08-11,2023-08-11,2023-08
user_654,2023-05-04,2023-05-04,2023-05
user_940,2023-12-21,2023-12-21,2023-12
user_961,2023-05-09,2023-05-09,2023-05
user_89,2023-08-21,2023-08-21,2023-08
user_225,2023-05-06,2023-05-06,2023-05
user_981,2023-11-06,2023-11-06,2023-11
user_984,2023-05-21,2023-05-21,2023-05
user_63,2023-12-24,2023-12-24,2023-12
user_516,2023-08-22,2023-08-22,2023-08
user_885,2023-07-26,2023-07-26,2023-07
user_18,2023-04-07,2023-04-07,2023-04
user_733,2023-05-01,2023-05-01,2023-05
user_616,2023-02-22,2023-02-22,2023-02
user_753,2023-06-11,2023-06-11,2023-06
user_197,2023-12-10,2023-12-10,2023-12
user_982,2023-03-10,2023-03-10,2023-03
user_377,2023-04-03,2023-04-03,2023-04
user_568,2023-05-06,2023-05-06,2023-05
user_23,2023-04-11,2023-04-11,2023-04
user_12,2023-09-07,2023-09-07,2023-09
user_206,2023-02-25,2023-02-25,2023-02
user_171,2023-09-09,2023-09-09,2023-09
user_99,2023-10-30,2023-10-30,2023-10
user_960,2023-03-02,2023-03-02,2023-03
user_546,2023-02-04,2023-02-04,2023-02
user_956,2023-08-24,2023-08-24,2023-08
user_124,2023-04-23,2023-04-23,2023-04
user_701,2023-04-01,2023-04-01,2023-04
user_155,2023-01-28,2023-01-28,2023-01
user_578,2023-03-21,2023-03-21,2023-03
user_784,2023-12-10,2023-12-10,2023-12
user_391,2023-04-25,2023-04-25,2023-04
user_646,2023-09-23,2023-09-23,2023-09
user_80,2023-06-02,2023-06-02,2023-06
user_171,2023-03-17,2023-03-17,2023-03
user_863,2023-01-27,2023-01-27,2023-01
user_316,2023-06-17,2023-06-17,2023-06
user_43,2023-12-21,2023-12-21,2023-12
user_783,2023-12-18,2023-12-18,2023-12
user_699,2023-03-08,2023-03-08,2023-03
user_873,2023-06-28,2023-06-28,2023-06
user_58,2023-04-09,2023-04-09,2023-04
user_42,2023-02-26,2023-02-26,2023-02
user_977,2023-06-06,2023-06-06,2023-06
user_359,2023-03-19,2023-03-19,2023-03
user_464,2023-06-03,2023-06-03,2023-06
user_443,2023-03-05,2023-03-05,2023-03
user_48,2023-11-28,2023-11-28,2023-11
user_643,2023-07-12,2023-07-12,2023-07
user_324,2023-10-07,2023-10-07,2023-10
user_84,2023-09-22,2023-09-22,2023-09
user_295,2023-02-05,2023-02-05,2023-02
user_628,2023-03-14,2023-03-14,2023-03
user_437,2023-05-24,2023-05-24,2023-05
user_75,2023-12-25,2023-12-25,2023-12
user_308,2023-10-27,2023-10-27,2023-10
user_284,2023-12-29,2023-12-29,2023-12
user_717,2023-03-21,2023-03-21,2023-03
user_413,2023-03-17,2023-03-17,2023-03
user_550,2023-03-28,2023-03-28,2023-03
user_996,2023-09-25,2023-09-25,2023-09
user_670,2023-10-07,2023-10-07,2023-10
user_72,2023-11-30,2023-11-30,2023-11
user_843,2023-08-15,2023-08-15,2023-08
user_961,2023-04-27,2023-04-27,2023-04
user_95,2023-05-26,2023-05-26,2023-05
user_153,2023-08-18,2023-08-18,2023-08
user_280,2023-02-02,2023-02-02,2023-02
user_599,2023-11-24,2023-11-24,2023-11
user_641,2023-10-02,2023-10-02,2023-10
user_592,2023-12-11,2023-12-11,2023-12
user_200,2023-04-19,2023-04-19,2023-04
user_130,2023-06-13,2023-06-13,2023-06
user_829,2023-06-30,2023-06-30,2023-06
user_64,2023-09-01,2023-09-01,2023-09
user_649,2023-04-02,2023-04-02,2023-04
user_942,2023-03-30,2023-03-30,2023-03
user_837,2023-09-17,2023-09-17,2023-09
user_169,2023-10-09,2023-10-09,2023-10
user_946,2023-04-19,2023-04-19,2023-04
user_34,2023-08-10,2023-08-10,2023-08
user_16,2023-12-24,2023-12-24,2023-12
user_595,2023-06-10,2023-06-10,2023-06
user_491,2023-08-15,2023-08-15,2023-08
user_775,2023-05-13,2023-05-13,2023-05
user_824,2023-05-25,2023-05-25,2023-05
user_647,2023-02-18,2023-02-18,2023-02
user_409,2023-02-11,2023-02-11,2023-02
user_600,2023-11-22,2023-11-22,2023-11
user_832,2023-11-13,2023-11-13,2023-11
user_188,2023-05-24,2023-05-24,2023-05
user_435,2023-12-20,2023-12-20,2023-12
user_250,2023-08-12,2023-08-12,2023-08
user_958,2023-02-19,2023-02-19,2023-02
user_306,2023-02-19,2023-02-19,2023-02
user_124,2023-04-21,2023-04-21,2023-04
user_718,2023-09-16,2023-09-16,2023-09
user_578,2023-12-13,2023-12-13,2023-12
user_422,2023-10-06,2023-10-06,2023-10
user_428,2023-10-29,2023-10-29,2023-10
user_693,2023-05-24,2023-05-24,2023-05
user_873,2023-10-15,2023-10-15,2023-10
user_670,2023-10-08,2023-10-08,2023-10
user_7,2023-08-02,2023-08-02,2023-08
user_940,2023-09-05,2023-09-05,2023-09
user_372,2023-05-11,2023-05-11,2023-05
user_525,2023-04-11,2023-04-11,2023-04
user_20,2023-10-27,2023-10-27,2023-10
user_870,2023-04-04,2023-04-04,2023-04
user_729,2023-06-29,2023-06-29,2023-06
user_272,2023-10-22,2023-10-22,2023-10
user_582,2023-02-26,2023-02-26,2023-02
user_583,2023-02-18,2023-02-18,2023-02
user_40,2023-07-09,2023-07-09,2023-07
user_457,2023-08-08,2023-08-08,2023-08
user_388,2023-09-01,2023-09-01,2023-09
user_69,2023-10-08,2023-10-08,2023-10
user_251,2023-11-27,2023-11-27,2023-11
user_405,2023-03-12,2023-03-12,2023-03
user_642,2023-05-16,2023-05-16,2023-05
user_801,2023-01-26,2023-01-26,2023-01
user_733,2023-05-24,2023-05-24,2023-05
user_409,2023-07-20,2023-07-20,2023-07
user_250,2023-10-02,2023-10-02,2023-10
user_98,2023-09-12,2023-09-12,2023-09
user_559,2023-12-21,2023-12-21,2023-12
user_82,2023-03-07,2023-03-07,2023-03
