user_id,first_active_date,return_dates,retention_cutoff_date
user_1,2023-01-08,2023-10-02,2023-03-09
user_2,2023-01-26,2023-08-28,2023-03-27
user_3,2023-01-14,2023-08-09,2023-03-15
user_4,2023-01-30,2023-07-24,2023-03-31
user_5,2023-01-24,2023-07-28,2023-03-25
user_6,2023-01-27,2023-03-06,2023-03-28
user_7,2023-01-09,2023-11-23,2023-03-10
user_8,2023-01-19,2023-11-13,2023-03-20
user_9,2023-01-10,2023-07-03,2023-03-11
user_10,2023-01-07,2023-03-18,2023-03-08
user_11,2023-01-14,2023-10-27,2023-03-15
user_12,2023-01-15,2023-05-29,2023-03-16
user_13,2023-01-28,2023-04-17,2023-03-29
user_14,2023-01-16,2023-11-04,2023-03-17
user_15,2023-01-30,2023-10-24,2023-03-31
user_16,2023-01-17,2023-11-25,2023-03-18
user_17,2023-01-30,2023-09-06,2023-03-31
user_18,2023-01-20,2023-11-01,2023-03-21
user_19,2023-01-23,2023-03-24,2023-03-24
user_20,2023-01-01,2023-04-24,2023-03-02
user_21,2023-01-12,2023-02-26,2023-03-13
user_22,2023-01-16,2023-11-21,2023-03-17
user_23,2023-01-28,2023-10-14,2023-03-29
user_24,2023-01-06,2023-12-08,2023-03-07
user_25,2023-01-14,2023-07-12,2023-03-15
user_26,2023-01-02,2023-06-06,2023-03-03
user_27,2023-01-18,2023-05-11,2023-03-19
user_28,2023-01-27,2023-10-18,2023-03-28
user_29,2023-01-28,2023-10-02,2023-03-29
user_30,2023-01-17,2023-09-28,2023-03-18
user_31,2023-01-08,2023-08-17,2023-03-09
user_32,2023-01-11,2023-10-14,2023-03-12
user_33,2023-01-12,2023-03-13,2023-03-13
user_34,2023-01-13,2023-06-29,2023-03-14
user_35,2023-01-10,2023-09-11,2023-03-11
user_36,2023-01-20,2023-09-29,2023-03-21
user_37,2023-01-12,2023-09-26,2023-03-13
user_38,2023-01-29,2023-09-11,2023-03-30
user_39,2023-01-08,2023-03-07,2023-03-09
user_40,2023-01-26,2023-10-05,2023-03-27
user_41,2023-01-19,2023-07-20,2023-03-20
user_42,2023-01-16,2023-07-23,2023-03-17
user_43,2023-01-01,2023-12-01,2023-03-02
user_44,2023-01-20,2023-03-19,2023-03-21
user_45,2023-01-05,2023-12-13,2023-03-06
user_46,2023-01-22,2023-10-23,2023-03-23
user_47,2023-01-28,2023-11-29,2023-03-29
user_48,2023-01-26,2023-05-07,2023-03-27
user_49,2023-01-14,2023-09-26,2023-03-15
user_50,2023-01-01,2023-09-09,2023-03-02
user_51,2023-01-12,2023-09-15,2023-03-13
user_52,2023-01-30,2023-08-11,2023-03-31
user_53,2023-01-05,2023-05-04,2023-03-06
user_54,2023-01-14,2023-02-26,2023-03-15
user_55,2023-01-20,2023-10-09,2023-03-21
user_56,2023-01-18,2023-02-28,2023-03-19
user_57,2023-01-23,2023-12-04,2023-03-24
user_58,2023-01-08,2023-02-18,2023-03-09
user_59,2023-01-02,2023-07-16,2023-03-03
user_60,2023-01-01,2023-02-22,2023-03-02
user_61,2023-01-24,2023-08-20,2023-03-25
user_62,2023-01-03,2023-03-19,2023-03-04
user_63,2023-01-21,2023-11-18,2023-03-22
user_64,2023-01-29,2023-11-07,2023-03-30
user_65,2023-01-17,2023-05-16,2023-03-18
user_66,2023-01-07,2023-10-05,2023-03-08
user_67,2023-01-26,2023-03-24,2023-03-27
user_68,2023-01-04,2023-02-15,2023-03-05
user_69,2023-01-05,2023-08-22,2023-03-06
user_70,2023-01-23,2023-03-18,2023-03-24
user_71,2023-01-28,2023-06-05,2023-03-29
user_72,2023-01-27,2023-03-20,2023-03-28
user_73,2023-01-02,2023-06-26,2023-03-03
user_74,2023-01-14,2023-06-25,2023-03-15
user_75,2023-01-05,2023-09-15,2023-03-06
user_76,2023-01-29,2023-05-17,2023-03-30
user_77,2023-01-20,2023-09-14,2023-03-21
user_78,2023-01-19,2023-07-31,2023-03-20
user_79,2023-01-15,2023-08-25,2023-03-16
user_80,2023-01-07,2023-10-23,2023-03-08
user_81,2023-01-16,2023-10-20,2023-03-17
user_82,2023-01-19,2023-11-13,2023-03-20
user_83,2023-01-29,2023-12-16,2023-03-30
